Student First,Student Last,DOB,Status,HomeRoom,Parent Info,Phone,Allergies,Income
Emma,Rodriguez,3/15/2022,Active,Toddlers,Maria Rodriguez / maria.r@email.com,555-0123,peanuts,"$30,000-$40,000"
Liam,Chen,11/8/2022,active,Toddlers,Wei Chen,5550124,none,Free
Olivia,Patel,6/22/2021,enrolled,Preschool,Priya Patel / priya@email.com,(555) 012-5678,Dairy; Eggs,Reduced
Noah,Johnson,4/10/2022,Active,Toddlers,Sarah Johnson,555-0126,,"$50,000-$75,000"
Ava,Williams,1/30/2023,Active,Infants,Mom: Lisa 555-0127 / Dad: Mike 555-0128,,none,Paid
sophia,MARTINEZ,9/15/2021,ACTIVE,preschool,Ana Martinez / ana.martinez@email.com,555 0129,"shellfish, tree nuts","$25,000 "
Jackson,Lee,7/18/2022,Active,Toddlers,Min Lee / min.lee@email.com,555-0130,,"$100,000+"
Isabella,Kim,12/3/2021,Active,Kindergarten,Sun Kim / sun.kim@email.com,555-0131,none,Free
Lucas,Brown,5/22/2023,Active,,Emily Brown / emily.b@email.com,555-0132,,Reduced
Mia,Anderson,2/14/2022,Active,Toddlers,Anna Anderson / anna@email.com,+44 20 7123 4567,gluten,"$40,000-$50,000"
